Reference, Value, Footprint, Datasheet, Supplier, Supplier P/N, Supplier URL, Manufacturer, Manufacturer P/N, Datasheet URL, Description, Unit Cost, Accessory, Supplier URl, Manufacturer URL, NOTE
R5,510,Resistors_SMD:R_0603_HandSoldering,,DigiKey,RHM510KCT-ND,http://www.digikey.com/product-detail/en/rohm-semiconductor/ESR10EZPJ511/RHM510KCT-ND/1763033,Rohm Semiconductor,ESR10EZPJ511,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr.pdf,RES SMD 510 OHM 5% 0.4W 0805,0.10,,,,
U11,MCP2551-I/SN,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,Digikey,MCP2551-I/SN-ND,http://www.digikey.com/product-search/en?keywords=MCP2551-I%2FSN,Microchip,MCP2551-I/SN,http://ww1.microchip.com/downloads/en/DeviceDoc/21667f.pdf,CAN Interface IC,1.02,,,http://www.microchip.com/wwwproducts/Devices.aspx?dDocName=en010405,
R25,120,Resistors_SMD:R_0805_HandSoldering,
R24,1k,Resistors_SMD:R_0603_HandSoldering,
C19,0.1u,Capacitors_SMD:C_0603_HandSoldering,
C20,0.1u,Capacitors_SMD:C_0603_HandSoldering,
U12,FT232RL,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,Digikey,768-1007-1-ND,http://www.digikey.com/product-detail/en/FT232RL-REEL/768-1007-1-ND/1836402,FTDI,FT232RL-REEL,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf,IC USB FS SERIAL UART 28-SSOP,4.50,,,,
C21,0.1u,Capacitors_SMD:C_0603_HandSoldering,
D15,SK310A-LTP,custom_footprints:do214ac,,Digikey,SK310A-LTPMSCT-ND,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,Micro Commercial Components (MMC),SK310A-LTP,http://www.mccsemi.com/up_pdf/SK32A-LT~SK310A-LT%28DO-214AC%29.PDF,Schottky Diodes & Rectifiers DIODE SCHOTTKY 100V 3A DO214AC ,0.57,,,,
J1,USB,custom_footprints:conn_usb_B,,Digikey,A114945-ND,http://www.digikey.com/product-detail/en/1734346-1/A114945-ND/1891565,TE Connectivity,1734346-1,http://www.te.com/catalog/pn/en/1734346-1?RQPN=1734346-1,USB Connectors B Blk 4pos R/A SMT ,1.36,,,,
